NOME_UF,NOME_MUNICIPIO,ESFERA_GOV_ESCOLA,LOCALIZACAO_ESCOLA,INEP_ESCOLA,NOME_ESCOLA,QUANT_ALUNADO,VALOR_RECEBIDO
AC,PLACIDO DE CASTRO,MUNICIPAL,Urbana,12010154,ESC ELIAS MANSOUR SIMAO,150,R$47.280
AC,RIO BRANCO,ESTADUAL,Rural,12010731,ESC SAO LUIZ GONZAGA,60,R$12.060
AC,RIO BRANCO,ESTADUAL,Rural,12015334,ESC EDMUNDO PINTO DE ALMEIDA NETO,50,R$8.130
AC,RODRIGUES ALVES,MUNICIPAL,Rural,12025615,ESC SANTA CLARA,54,R$12.150
AC,CRUZEIRO DO SUL,MUNICIPAL,Urbana,12027901,ESC NISE VARELA,75,R$30.645
AC,MARECHAL THAUMATURGO,MUNICIPAL,Urbana,12029807,ESC MARIA FERREIRA DO VALE,300,R$33.804
AM,MANAUS,ESTADUAL,Rural,13001400,ESCOLA ESTADUAL SAO MIGUEL,25,R$4.113
AM,MARAA,MUNICIPAL,Rural,13003348,ESC MUN INDIGENA KANAMARIS,90,R$16.362
AM,MARAA,MUNICIPAL,Rural,13003739,ESC MUN INDIGENA SAO JOSE DO CUIU CUIU,81,R$27.120
AM,BENJAMIN CONSTANT,MUNICIPAL,Urbana,13005200,ESC PROFESSORA SOFIA BARBOSA,125,R$23.475
AM,FONTE BOA,MUNICIPAL,Urbana,13006584,ESC MUN FRANCISCA CREUZA M DE PAULA,852,R$72
AM,MANAUS,ESTADUAL,Urbana,13006606,ESCOLA ESTADUAL SAO JOSE,125,R$14.085
AM,JUTAI,MUNICIPAL,Urbana,13006797,ESC MUL PRESIDENTE TANCREDO NEVES,229,R$18.654
AM,JUTAI,MUNICIPAL,Rural,13007157,ESC MUL SAO SEBASTIAO,183,R$47.700
AM,MANAUS,ESTADUAL,Rural,13007726,ESCOLA ESTADUAL DESEMBARGADOR JOAO REBELO CORREA,125,R$20.565
AM,TONANTINS,MUNICIPAL,Rural,13008331,ESC SAO JOSE DO AMPARO,227,R$40.923
AM,MANAUS,ESTADUAL,Urbana,13012568,ESCOLA ESTADUAL PROF GILBERTO MESTRINHO,40,R$11.592
AM,TEFE,MUNICIPAL,Rural,13013114,ESCOLA MUN RURAL FLORA AGRICOLA,186,R$47.625
AM,TEFE,MUNICIPAL,Rural,13013378,ESCOLA MUN RURAL NOSSA SRA DO PERPETUO SOCORRO - COSTA DE TE,119,R$13.449
AM,CAAPIRANGA,MUNICIPAL,Rural,13016350,ESC MUL JOSE PEREIRA DE CASTRO,36,R$5.400
AM,COARI,MUNICIPAL,Rural,13016830,ESCOLA MUNICIPAL HIGINA TAVARES DA SILVA,50,R$5.484
AM,COARI,MUNICIPAL,Rural,13017160,ESCOLA MUNICIPAL DOM JAKSON DAMASCENO,100,R$10.803
AM,COARI,MUNICIPAL,Rural,13017250,ESCOLA MUNICIPAL MARIA ALMEIDA DO NASCIMENTO,100,R$10.968
AM,AUTAZES,MUNICIPAL,Rural,13019082,ESC MUNICIPAL INDIGENA NOVO HORIZONTE,70,R$8.196
AM,AUTAZES,MUNICIPAL,Rural,13019104,ESC MUNICIPAL RAIMUNDA CALDAS,80,R$10.848
AM,AUTAZES,MUNICIPAL,Rural,13019252,ESC MUNICIPAL SANTO ANTONIO,80,R$1.287
AM,AUTAZES,MUNICIPAL,Rural,13019562,ESC MUNICIPAL PEDRO GASPAR,54,R$20.250
AM,AUTAZES,MUNICIPAL,Rural,13019597,ESC MUNICIPAL ELIEZER CORREA LIMA,80,R$4.278
AM,AUTAZES,MUNICIPAL,Rural,13019813,ESC MUNICIPAL INDIGENA DR JACOBINA,50,R$5.484
AM,AUTAZES,MUNICIPAL,Rural,13019848,ESC MUNICIPAL JOSE THOME,80,R$27.120
AM,AUTAZES,MUNICIPAL,Rural,13019864,ESC MUNICIPAL INDIGENA MANOEL MIRANDA,120,R$13.650
AM,AUTAZES,MUNICIPAL,Rural,13019899,ESC MUNICIPAL ROSALINA ALMEIDA PINHEIRO,120,R$34.200
AM,AUTAZES,MUNICIPAL,Rural,13019961,ESC MUNICIPAL RUY ALCANTARA DE ALBUQUERQUE,100,R$10.968
AM,AUTAZES,MUNICIPAL,Rural,13019996,ESC MUNICIPAL SAO FRANCISCO,60,R$8.136
AM,MANAUS,ESTADUAL,Rural,13020803,ESCOLA ESTADUAL PEDRO DOS SANTOS,374,R$61.686
AM,CAREIRO DA VARZEA,MUNICIPAL,Urbana,13020986,ESC MUN BALBINA MESTRINHO,338,R$73.740
AM,CAREIRO DA VARZEA,MUNICIPAL,Rural,13021370,ESC MUN FREI ISIDORO,169,R$12.123
AM,CAREIRO DA VARZEA,MUNICIPAL,Rural,13021460,ESC MUN VICENTE BRITO,114,R$34.095
AM,IRANDUBA,MUNICIPAL,Urbana,13021575,ESC CREUZA ABESS FARAH,80,R$13.965
AM,IRANDUBA,MUNICIPAL,Rural,13021699,ESC MARCOS BENICIO RIOS,100,R$10.968
AM,MANACAPURU,MUNICIPAL,Rural,13023047,EMEF LEOCADIO DA CUNHA,182,R$124.155
AM,MANACAPURU,MUNICIPAL,Rural,13023519,EMEF PRESIDENTE KENNEDY,169,R$106.890
AM,MANACAPURU,MUNICIPAL,Rural,13023535,EMEF PROFª MARIA DE NAZARE OLIVEIRA,130,R$93.045
AM,MANACAPURU,MUNICIPAL,Rural,13023667,EMEF SAGRADO CORACAO DE JESUS,128,R$45.405
AM,MANACAPURU,MUNICIPAL,Rural,13023799,EMEF SAO JOAO DO UBIM,194,R$80.700
AM,MANACAPURU,MUNICIPAL,Urbana,13023918,EMEF PROFª FRANCISCA MAFRA DE CARVALHO,270,R$101.865
AM,MANACAPURU,MUNICIPAL,Rural,13024370,EMEF BENEDITO GOMES,240,R$138.090
AM,MANACAPURU,MUNICIPAL,Rural,13024396,EMEF ERNESTINA LIMA PEREIRA,51,R$36.222
AM,MANAQUIRI,MUNICIPAL,Urbana,13024450,CENTRO EDUCACIONAL MUNICIPAL EM TEMPO INTEGRAL DOMINGOS VASQ,656,R$245.835
AM,MANAQUIRI,MUNICIPAL,Rural,13024809,ESCOLA MUNICIPAL DE TEMPO INTEGRAL SANTO ANTONIO,151,R$71.565
AM,MANAUS,MUNICIPAL,Rural,13029134,EM PROFª JOANA VIEIRA,50,R$5.424
AM,MANAUS,MUNICIPAL,Urbana,13029690,EM PROF THEMISTOCLES PINHEIRO GADELHA,200,R$77.985
AM,MANAUS,ESTADUAL,Urbana,13030965,ESCOLA ESTADUAL WALDEMIRO PERES LUSTOZA,140,R$45.312
AM,PRESIDENTE FIGUEIREDO,MUNICIPAL,Urbana,13032143,ESCOLA MUNICIPAL DOUTOR OCTAVIO LACOMBE,200,R$37.560
AM,PRESIDENTE FIGUEIREDO,MUNICIPAL,Rural,13032240,ESCOLA MUNICIPAL MINISTRO MARCOS FREIRE,184,R$34.080
AM,PRESIDENTE FIGUEIREDO,MUNICIPAL,Rural,13032496,ESCOLA MUNICIPAL DE BALBINA,226,R$137.880
AM,ITACOATIARA,MUNICIPAL,Rural,13033859,ESC IVO AMAZONENSE DE MOURA,200,R$113.850
AM,ITACOATIARA,MUNICIPAL,Rural,13034170,ESC MONSENHOR JOAQUIM PEREIRA,89,R$41.727
AM,BARREIRINHA,MUNICIPAL,Rural,13038028,ESC INDIGENA PROFª ROSA CABRAL,86,R$52.059
AM,BARREIRINHA,MUNICIPAL,Rural,13038770,ESC PEDRO PEDROSA DE CARVALHO,100,R$48.372
AM,BARREIRINHA,MUNICIPAL,Rural,13038885,ESC NOSSA SENHORA DO LIVRAMENTO,150,R$61.887
AM,MAUES,MUNICIPAL,Urbana,13039784,ESC MUN FRANCISCO CANINDE CAVALCANTE,610,R$70.290
AM,MAUES,MUNICIPAL,Rural,13040294,ESC MUN SENADOR JOAO BOSCO,120,R$13.440
AM,PARINTINS,MUNICIPAL,Rural,13042360,ESCOLA MUNICIPAL FERNANDO CARVALHO,181,R$59.025
AM,PARINTINS,MUNICIPAL,Rural,13042645,ESCOLA MUNICIPAL MINERVINA REIS FERREIRA,265,R$162.360
AM,PARINTINS,MUNICIPAL,Rural,13042726,ESCOLA MUNICIPAL TSUKASA UYETSUKA,400,R$227.970
AM,PARINTINS,MUNICIPAL,Rural,13043153,ESCOLA MUNICIPAL WALKIRIA VIANA GONCALVES,200,R$113.985
AM,PARINTINS,MUNICIPAL,Rural,13043617,ESCOLA MUNICIPAL SANTA MARIA,380,R$96.648
AM,LABREA,MUNICIPAL,Urbana,13047442,ESC TURMA DA MONICA,40,R$13.380
AM,HUMAITA,MUNICIPAL,Urbana,13049992,ESCOLA MUNICIPAL JOSE CEZARIO MENEZES DE BARROS,250,R$14.010
AM,HUMAITA,MUNICIPAL,Rural,13050036,ESCOLA MUNICIPAL CRISTO REI,200,R$32.904
AM,HUMAITA,MUNICIPAL,Rural,13050354,ESCOLA MUNICIPAL VEREADOR MANOEL DE OLIVEIRA SANTOS,282,R$49.194
AM,HUMAITA,MUNICIPAL,Rural,13051210,ESCOLA MUNICIPAL SAO DOMINGOS SAVIO,264,R$75.210
AM,HUMAITA,MUNICIPAL,Urbana,13051237,ESCOLA MUNICIPAL DOM BOSCO,200,R$14.859
AM,RIO PRETO DA EVA,MUNICIPAL,Rural,13054929,ESC LUIS ALBERTO CARVALHO CASTELO,150,R$24.678
AM,BARREIRINHA,MUNICIPAL,Urbana,13055259,ESC HILMA DUTRA,150,R$11.193
AM,MANACAPURU,MUNICIPAL,Rural,13055640,EMEF MARIO JORGE DO COUTO LOPES,59,R$29.430
AM,PRESIDENTE FIGUEIREDO,MUNICIPAL,Rural,13058096,ESCOLA MUNICIPAL ADEMILDE DA FONSECA SOBRAL,150,R$51.102
AM,MANAUS,MUNICIPAL,Rural,13058533,EM PROFª TEREZA CORDOVIL GUIMARAES,125,R$69.195
AM,MANAUS,MUNICIPAL,Rural,13058746,EM JOAO PAULO II,100,R$62.886
AM,ITACOATIARA,MUNICIPAL,Urbana,13059670,ESC PROFª MARIA NIRA GUIMARAES,200,R$77.865
AM,ITACOATIARA,MUNICIPAL,Rural,13060244,ESC ANTONIA VIEIRA,189,R$67.125
AM,MANACAPURU,MUNICIPAL,Rural,13062913,EMEF EDIRALDO SAMPAIO DE OLIVEIRA,313,R$59.160
AM,MANAQUIRI,MUNICIPAL,Rural,13063022,ESCOLA MUNICIPAL SAO FRANCISCO,101,R$41.640
AM,MANAQUIRI,MUNICIPAL,Rural,13063065,ESCOLA MUNICIPAL NOVO PROGRESSO,138,R$89.415
AM,IRANDUBA,MUNICIPAL,Rural,13063561,ESC BOM JESUS,60,R$20.340
AM,HUMAITA,MUNICIPAL,Urbana,13064576,ESCOLA MUNICIPAL IRMA MARIA CARMEM CRONENBOLD,135,R$27.915
AM,CAREIRO DA VARZEA,MUNICIPAL,Rural,13066560,ESC MUN MONTE SINAI,96,R$27.120
AM,MANICORE,MUNICIPAL,Urbana,13066684,ESCOLA MUNICIPAL PADRE SEBASTIAO ASSIS DE CARVALHO,256,R$41.955
AM,CAREIRO,MUNICIPAL,Rural,13067010,ESCOLA MUNICIPAL ARTHUR MENEZES DE OLIVEIRA,201,R$73.929
AM,TONANTINS,MUNICIPAL,Rural,13068423,ESC SAO FRANCISCO DE ASSIS,234,R$40.986
AM,MARAA,MUNICIPAL,Urbana,13068504,ESC MUNI RAIMUNDA HERMELINDA RAMOS,332,R$39.276
AM,PARINTINS,MUNICIPAL,Urbana,13069225,ESCOLA MUNICIPAL BEATRIZ MARANHAO,168,R$63.810
AM,COARI,MUNICIPAL,Urbana,13069519,ESCOLA MUNICIPAL RAIMUNDO BEZERRA,100,R$2.248
AM,TAPAUA,MUNICIPAL,Urbana,13069969,ESC MUNICIPAL PROF PAULO FREIRE,95,R$18.495
AM,AUTAZES,MUNICIPAL,Rural,13070266,ESC MUNICIPAL ALVINA CAVALCANTE TUPINAMBA,125,R$13.665
AM,EIRUNEPE,MUNICIPAL,Urbana,13070347,PROFESSORA ELIZABETE OLIVEIRA,135,R$5.013
AM,ITAMARATI,MUNICIPAL,Urbana,13072005,ESC PADRE GUILHERME BURMANJE,67,R$5.481
AM,JURUA,MUNICIPAL,Urbana,13072170,ESCOLA MUNICIPAL DALILA LITAIFF,379,R$60.780
AM,BARREIRINHA,MUNICIPAL,Rural,13072188,ESC NOSSA SENHORA DE LOURDES,80,R$48.057
AM,ITACOATIARA,MUNICIPAL,Urbana,13073087,ESC IRMAS DOROTEIAS,98,R$42.780
AM,MANAUS,ESTADUAL,Urbana,13073567,ESCOLA ESTADUAL JULIETA LOPES DE ALBUQUERQUE,100,R$19.740
AM,BARREIRINHA,MUNICIPAL,Rural,13074431,ESC ALVARO MAIA,100,R$45.897
AM,LABREA,MUNICIPAL,Urbana,13074814,ESC MARIA DO SOCORRO BRITO LIMA,60,R$9.684
AM,RIO PRETO DA EVA,MUNICIPAL,Rural,13075810,ESC NOSSA SENHORA APARECIDA,44,R$5.448
AM,JUTAI,MUNICIPAL,Urbana,13076566,ESC MUL CAIO DE ARAUJO LASMAR,618,R$70.362
AM,FONTE BOA,MUNICIPAL,Urbana,13076604,ESC MUN VALNEI CORREA DE SOUZA,322,R$10.041
AM,CAREIRO,MUNICIPAL,Rural,13076833,ESCOLA MUNICIPAL AURELIANA ALVES DE LIMA,174,R$34.170
AM,TEFE,MUNICIPAL,Urbana,13079468,I CENTRO MUN DE APLIC EM EDUCACAO WALTER CABRAL,904,R$135.870
AM,MANACAPURU,MUNICIPAL,Urbana,13079549,EMEF PROFº MANOEL AFONSO DE BRITO,500,R$165.360
AM,MANAUS,MUNICIPAL,Urbana,13081730,EM RAUL DE QUEIROZ DE MENEZES VEIGA,200,R$78.000
AM,RIO PRETO DA EVA,MUNICIPAL,Urbana,13081853,ESC ALEGRIA DE SABER,100,R$2.243
AM,RIO PRETO DA EVA,MUNICIPAL,Urbana,13081870,ESCOLA MUNICIPAL GOVERNADOR GILBERTO MESTRINHO,200,R$22.536
AM,CAREIRO,MUNICIPAL,Rural,13081888,ESCOLA MUNICIPAL JOSE SALVADOR BRAGA,140,R$110.430
AM,CAREIRO,MUNICIPAL,Rural,13081900,ESCOLA MUNICIPAL FRED FERNANDES DA SILVA,84,R$39.162
AM,CAREIRO,MUNICIPAL,Urbana,13081918,CENTRO EDUCACIONAL JOAO LOBO,766,R$206.529
AM,CAREIRO,MUNICIPAL,Rural,13081926,ESCOLA MUNICIPAL DARLISON AZEVEDO DE LEMOS,140,R$75.855
AM,IRANDUBA,MUNICIPAL,Urbana,13082469,ESCOLA MUNICIPAL ANA BARBOSA DE CASTRO,150,R$11.238
AM,CARAUARI,MUNICIPAL,Urbana,13083341,ESC MUN PROFª ELIZA PEDROSA,185,R$62.604
AM,TAPAUA,MUNICIPAL,Urbana,13083686,ESC SENADOR ARTHUR VIRGILIO FILHO,448,R$79.485
AM,MARAA,MUNICIPAL,Urbana,13083970,ESC MUNI PROFESSORA DARCY BARBOSA LITAIFF,483,R$56.187
AM,ITACOATIARA,MUNICIPAL,Rural,13084275,ESC LUIZA MENDES,300,R$165.570
AM,LABREA,MUNICIPAL,Urbana,13087584,ESC FRANCISCA GOMES MENDES,60,R$18.000
AM,MANAUS,ESTADUAL,Urbana,13090267,ESCOLA ESTADUAL MADRE REGINA PROTMANN,100,R$21.180
AM,MANAUS,MUNICIPAL,Urbana,13092880,EM FRANCISCO NUNES DA SILVA,100,R$36.012
AM,IRANDUBA,MUNICIPAL,Urbana,13097008,ESC MUN FERNANDO DAMASCENO,100,R$11.268
AM,AUTAZES,MUNICIPAL,Rural,13100033,ESC MUNICIPAL ZIMA LIRA CABRAL II,120,R$34.155
AM,TEFE,MUNICIPAL,Urbana,13100165,ESCOLA MUN MAYARA REDMAN ABDEL AZIZ,596,R$103.170
AM,COARI,MUNICIPAL,Urbana,13100521,ESCOLA MUNICIPAL MARIA ELISANGELA LITAIFF,50,R$1.119
AM,LABREA,MUNICIPAL,Urbana,13100556,ESC PASTOR JOSE REIS,40,R$9.210
AM,CAREIRO,MUNICIPAL,Urbana,13100742,CMEI RAIMUNDA DA COSTA VILLAR,327,R$76.704
AM,MANICORE,MUNICIPAL,Urbana,13101315,ESCOLA MUNICIPAL ARISTEU DA CUNHA VIRGOLINO,200,R$22.536
AM,TONANTINS,MUNICIPAL,Urbana,13101862,ESC SANTO EXPEDITO,270,R$30.942
AM,IRANDUBA,MUNICIPAL,Rural,13102621,ESCOLA MUNICIPAL ARIAU,233,R$40.977
AM,COARI,MUNICIPAL,Urbana,13113607,ESCOLA MUNICIPAL MARIA DE NAZARE PEREIRA DA SILVA,75,R$5.619
AM,PRESIDENTE FIGUEIREDO,MUNICIPAL,Rural,13115804,ESCOLA MUNICIPAL ERNANDES SILVA DO NASCIMENTO,106,R$61.920
AM,MANACAPURU,MUNICIPAL,Rural,13142240,EMEF JOFRE PESSOA DE ALENCAR,150,R$61.902
AM,RIO PRETO DA EVA,MUNICIPAL,Rural,13229206,ESC MUL FRANCISCO ALVES DA COSTA,100,R$10.968
AM,COARI,MUNICIPAL,Urbana,13256220,ESCOLA MUNICIPAL RAIMUNDA CRUZ E SILVA,80,R$2.208
AM,CAAPIRANGA,MUNICIPAL,Rural,13263250,ESC MUNICIPAL NOVO HORIZONTE,140,R$16.392
AM,MANAUS,MUNICIPAL,Urbana,13305247,EM OLGA FIGUEIREDO,250,R$14.040
AM,MANAUS,ESTADUAL,Rural,13325230,ESC EST INDIGENA GOVERNADOR EDUARDO BRAGA,50,R$8.226
RR,BOA VISTA,ESTADUAL,Urbana,14000946,ESCOLA ESTADUAL FAGUNDES VARELA,250,R$8.430
RR,BOA VISTA,ESTADUAL,Urbana,14001438,COLEGIO ESTADUAL MILITARIZADO PEDRO ELIAS ALBUQUERQUE PEREIR,80,R$8.832
RR,BOA VISTA,ESTADUAL,Urbana,14001870,ESC EST PROFª VITORIA MOTA CRUZ,178,R$17.668
RR,BOA VISTA,ESTADUAL,Urbana,14001888,ESCOLA ESTADUAL PROFESSORA MARIA DAS NEVES REZENDE,150,R$9.198
RR,CARACARAI,MUNICIPAL,Urbana,14003600,ESCOLA MUNICIPAL COUTO DE MAGALHAES,60,R$8.316
RR,BOA VISTA,ESTADUAL,Rural,14003635,ESCOLA ESTADUAL EDMUR OLIVA,116,R$8.125
RR,CARACARAI,MUNICIPAL,Urbana,14003694,ESCOLA MUNICIPAL MANOEL PEREIRA DA COSTA,294,R$51.615
RR,BOA VISTA,ESTADUAL,Rural,14005794,ESCOLA ESTADUAL SAO FRANCISCO,50,R$2.454
RR,BOA VISTA,ESTADUAL,Urbana,14321459,ESCOLA ESTADUAL PROFESSOR CARLO CASADIO,110,R$13.835
RR,BOA VISTA,ESTADUAL,Urbana,14322382,ESCOLA ESTADUAL PROFESSOR SEVERINO GONCALO GOMES CAVALCANTE,200,R$11.130
RR,BOA VISTA,ESTADUAL,Urbana,14322641,ESCOLA ESTADUAL ALDEBARO JOSE ALCANTARA,150,R$8.430
RR,RORAINOPOLIS,MUNICIPAL,Rural,14324237,ESCOLA MUNICIPAL DE ENSINO INFANTIL E FUNDAMENTAL PEDRO MOLE,113,R$20.457
RR,RORAINOPOLIS,MUNICIPAL,Rural,14324547,ESCOLA MUNICIPAL DE ENSINO INFANTIL E FUNDAMENTAL PROFESSORA,26,R$2.382
RR,CAROEBE,MUNICIPAL,Urbana,14325004,ESCOLA MUNICIPAL SANTA BRUNHARA BARBOSA,150,R$23.310
RR,CAROEBE,MUNICIPAL,Rural,14325012,ESCOLA MUNICIPAL MIRIAM ALVES FERREIRA,152,R$28.584
PA,JURUTI,MUNICIPAL,Rural,15000346,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GETULIO VARGAS,110,R$13.560
PA,JURUTI,MUNICIPAL,Rural,15001415,E M E I F MIRIAM BENITAH,200,R$21.876
PA,ORIXIMINA,MUNICIPAL,Urbana,15002829,EMEF PROFª MARIA QUEIROZ DE SOUZA,150,R$34.953
PA,ORIXIMINA,MUNICIPAL,Urbana,15002896,EMEF SENADOR LAMEIRA BITTENCOURT,80,R$42.300
PA,ORIXIMINA,MUNICIPAL,Rural,15003400,EMEF NOVO ISRAEL,110,R$48.270
PA,ORIXIMINA,MUNICIPAL,Urbana,15003442,EMEF NOVA ESPERANCA,120,R$30.525
PA,ORIXIMINA,MUNICIPAL,Rural,15003558,EMEF SANTO ANTONIO,130,R$9.552
PA,ORIXIMINA,MUNICIPAL,Urbana,15003760,EMEF JOAO PAULO I,100,R$31.377
PA,ORIXIMINA,MUNICIPAL,Rural,15003914,EMEF NOVA BETEL,200,R$81.096
PA,ORIXIMINA,MUNICIPAL,Rural,15004473,EMEF SANTA INES,189,R$38.460
PA,ALENQUER,MUNICIPAL,Urbana,15005089,E M E F ETERIO TEIXEIRA,100,R$7.497
PA,ALENQUER,MUNICIPAL,Urbana,15005887,E M E I F IZOLINA DASSUNCAO LOPES VALENTE,100,R$39.960
PA,ALENQUER,MUNICIPAL,Rural,15005968,E M E I F JOSE PORFIRIO,100,R$31.020
PA,ALENQUER,MUNICIPAL,Urbana,15006107,E M E I F NOR MICHEL GANTUSS,120,R$16.815
PA,ALENQUER,MUNICIPAL,Rural,15006220,E M E I E F NOSSA SENHORA DA CONCEICAO I,100,R$41.688
PA,ALENQUER,MUNICIPAL,Rural,15006328,E M E I F RAMIRO BRITO,75,R$31.020
PA,ALENQUER,MUNICIPAL,Rural,15006603,E M E I F SAO FRANCISCO I,50,R$44.715
PA,ALENQUER,MUNICIPAL,Urbana,15006930,E M E I F SANTA RITA DE CASSIA I,90,R$25.800
PA,MONTE ALEGRE,MUNICIPAL,Urbana,15007251,E M E I E F PROF ROSALIA SIMOES BARBOSA,50,R$15.090
PA,MONTE ALEGRE,MUNICIPAL,Urbana,15007332,E M E I E F PROF ORLANDO COSTA,50,R$22.279
PA,MONTE ALEGRE,MUNICIPAL,Rural,15007677,E M E I F PROFA MARIA DE LOURDES SOUZA TORRES,50,R$12.363
PA,MONTE ALEGRE,MUNICIPAL,Rural,15007871,E M E F DR DATIS LIMA DE OLIVA,60,R$39.126
PA,MONTE ALEGRE,MUNICIPAL,Urbana,15008126,E M E F PREF ANTONIO PEREIRA DE ARAUJO,50,R$12.198
PA,MONTE ALEGRE,MUNICIPAL,Rural,15008215,E M E F VAI QUEM QUER,50,R$40.404
PA,MONTE ALEGRE,MUNICIPAL,Urbana,15008282,E M E F ANTONIO JOAQUIM MOREIRA,50,R$21.180
PA,MONTE ALEGRE,MUNICIPAL,Urbana,15008452,E M E I F DR JOAO TERTULIANO DE ALMEIDA LINS,50,R$24.936
PA,MONTE ALEGRE,MUNICIPAL,Urbana,15008487,E M E I E F EXPEDITO CORREA MOREIRA,50,R$23.915
PA,MONTE ALEGRE,MUNICIPAL,Rural,15008622,E M E I E F JAQUARA II,50,R$29.709
PA,MONTE ALEGRE,MUNICIPAL,Rural,15008762,E M E F NOSSA SENHORA DE NAZARE,50,R$36.504
PA,MONTE ALEGRE,MUNICIPAL,Rural,15009130,E M E F PA 254 KM 11,30,R$30.795
PA,PRAINHA,MUNICIPAL,Rural,15009467,E M E F DE ITAMUCURI,75,R$2.449
PA,PRAINHA,MUNICIPAL,Rural,15009475,E M E F EZILDA ARAGAO BRASIL,100,R$3.267
PA,PRAINHA,MUNICIPAL,Rural,15010155,E M E F NOSSA SENHORA DE NAZARE II,100,R$8.180
PA,PRAINHA,MUNICIPAL,Rural,15010287,E M E I F JOAO REGIS BATISTA,50,R$1.636
PA,PRAINHA,MUNICIPAL,Urbana,15010694,E M E I F SANTA ROSA,100,R$2.248
PA,BELEM,ESTADUAL,Urbana,15011380,EEEFM ANTONIO BATISTA BELO DE CARVALHO,120,R$37.920
PA,SANTAREM,MUNICIPAL,Rural,15013316,E M E F NSRA DE NAZARE,80,R$22.968
PA,BELTERRA,MUNICIPAL,Rural,15013774,E M E F PROFESSORA VITALINA MOTTA,100,R$58.440
